Medicare Administrative Contractor (MAC),State,Locality Number,Locality Name,2026 PW GPCI (without 1.0 Floor),2026 PW GPCI (with 1.0 Floor),2026 PE GPCI,2026 MP GPCI
12502,PA,1,METROPOLITAN PHILADELPHIA,1.018,1.018,1.041,1.193
12502,PA,99,REST OF PENNSYLVANIA,0.99,1.0,0.918,0.945
09202,PR,20,PUERTO RICO,1.0,1.0,1.011,0.985
14412,RI,1,RHODE ISLAND,1.019,1.019,1.033,0.892
11202,SC,1,SOUTH CAROLINA,0.986,1.0,0.924,0.85
03402,SD,2,SOUTH DAKOTA**,0.99,1.0,1.0,0.336
10312,TN,35,TENNESSEE,0.984,1.0,0.909,0.537
04412,TX,31,AUSTIN,1.002,1.002,1.058,0.886
04412,TX,20,BEAUMONT,0.989,1.0,0.91,0.929
04412,TX,9,BRAZORIA,1.008,1.008,0.991,0.78
04412,TX,11,DALLAS,1.009,1.009,0.996,0.858
04412,TX,28,FORT WORTH,1.009,1.009,0.986,0.871
04412,TX,15,GALVESTON,1.008,1.008,0.993,0.828
04412,TX,18,HOUSTON,1.008,1.008,0.993,1.376
04412,TX,99,REST OF TEXAS,0.991,1.0,0.949,0.903
03502,UT,9,UTAH,0.985,1.0,0.94,0.898
14512,VT,50,VERMONT,0.988,1.0,0.99,0.506
11302,VA,0,VIRGINIA,1.0,1.0,0.983,0.706
09202,VI,50,VIRGIN ISLANDS,1.0,1.0,1.011,0.985
02402,WA,2,SEATTLE (KING CNTY),1.05,1.05,1.227,0.817
02402,WA,99,REST OF WASHINGTON,1.013,1.013,1.053,0.761
11402,WV,16,WEST VIRGINIA,0.98,1.0,0.869,1.431
06302,WI,0,WISCONSIN,0.993,1.0,0.958,0.308
03602,WY,21,WYOMING**,0.991,1.0,1.0,0.74
