"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"05",Arkansas,"94729",Test to examine how well the lungs exchange gases,N,F,52,4657,4843,4843,46.37145,8.217396,6.2949557,6.6698866
State,"05",Arkansas,"94729",Test to examine how well the lungs exchange gases,N,O,46,3998,4159,4158,104.83845,45.02011,33.95199,39.46783
State,"06",California,"94010",Test to measure expiratory airflow and volume,N,F,344,9564,13287,13285,46.62073,8.742979,6.7349324,6.1487026
State,"06",California,"94010",Test to measure expiratory airflow and volume,N,O,1366,34421,48531,48512,94.284164,29.348825,22.049822,19.433636
State,"06",California,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,422,16895,17545,17545,96.48838,10.652062,8.06696,7.563146
State,"06",California,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,1144,43205,51806,51614,138.67984,41.912758,31.810308,27.96893
State,"06",California,"94726",Test to determine lung volumes using sensors,N,F,380,17371,18149,18149,55.61183,12.469545,9.499744,8.877233
State,"06",California,"94726",Test to determine lung volumes using sensors,N,O,457,28445,32276,32257,140.90663,57.65795,44.253574,38.715263
State,"06",California,"94729",Test to examine how well the lungs exchange gases,N,F,427,23241,25089,25089,45.888702,9.266206,7.0752177,6.611219
State,"06",California,"94729",Test to examine how well the lungs exchange gases,N,O,641,40948,47262,47242,146.4459,61.14197,46.99397,40.788574
State,"08",Colorado,"94010",Test to measure expiratory airflow and volume,N,F,101,1779,1891,1891,43.258347,8.160185,6.2137756,6.080968
State,"08",Colorado,"94010",Test to measure expiratory airflow and volume,N,O,401,4973,6621,6621,80.345795,26.75279,19.822119,19.262522
State,"08",Colorado,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,138,4330,4479,4476,46.692497,10.070286,7.6978297,7.6435947
State,"08",Colorado,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,326,4324,4581,4581,117.46736,36.91011,28.122328,27.116676
State,"08",Colorado,"94726",Test to determine lung volumes using sensors,N,F,129,5073,5247,5244,90.727165,11.822762,9.030011,8.911155
State,"08",Colorado,"94726",Test to determine lung volumes using sensors,N,O,102,2625,2735,2734,123.95664,53.718975,41.216507,39.74884
State,"08",Colorado,"94729",Test to examine how well the lungs exchange gases,N,F,146,6622,7235,7232,89.7984,8.784093,6.724289,6.6279044
State,"08",Colorado,"94729",Test to examine how well the lungs exchange gases,N,O,159,4908,5255,5255,117.72538,54.887028,42.000477,40.26766
State,"09",Connecticut,"94010",Test to measure expiratory airflow and volume,N,F,97,1505,1631,1630,73.19236,8.3881855,6.407603,6.1029305
State,"09",Connecticut,"94010",Test to measure expiratory airflow and volume,N,O,271,6218,8778,8760,101.84284,26.609816,20.031105,18.396196
State,"09",Connecticut,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,101,2243,2329,2329,100.5784,10.520932,8.104028,7.6920137
State,"09",Connecticut,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,201,5239,7933,7930,175.10841,38.1204,29.282782,26.971579
State,"09",Connecticut,"94726",Test to determine lung volumes using sensors,N,F,67,1503,1571,1570,108.0281,12.250853,9.585602,9.110159
State,"09",Connecticut,"94726",Test to determine lung volumes using sensors,N,O,88,2195,2270,2270,159.1749,42.66093,33.226475,30.596096
State,"09",Connecticut,"94729",Test to examine how well the lungs exchange gases,N,F,111,3374,3583,3582,79.811,9.09748,7.037653,6.694633
State,"09",Connecticut,"94729",Test to examine how well the lungs exchange gases,N,O,142,7118,7919,7917,147.41281,47.737125,36.802734,33.672142
State,"10",Delaware,"94010",Test to measure expiratory airflow and volume,N,F,7,519,560,560,27.376339,8.131161,6.1736608,6.0604463
State,"10",Delaware,"94010",Test to measure expiratory airflow and volume,N,O,49,1663,2151,2151,71.70806,25.678968,18.754059,18.601023
State,"10",Delaware,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,7,1674,1698,1698,73.42355,10.172921,7.455742,7.309358
State,"10",Delaware,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,44,2942,3108,3108,137.92914,37.638718,28.857462,28.671556
State,"10",Delaware,"94726",Test to determine lung volumes using sensors,N,F,16,1821,2371,2371,141.64104,11.530764,8.686609,8.60294
State,"10",Delaware,"94726",Test to determine lung volumes using sensors,N,O,10,2398,2493,2493,106.09968,53.467377,40.43585,40.189735
State,"10",Delaware,"94729",Test to examine how well the lungs exchange gases,N,F,7,1982,2056,2056,33.898346,8.814017,6.506634,6.3854523
State,"10",Delaware,"94729",Test to examine how well the lungs exchange gases,N,O,14,2491,2581,2581,125.88524,55.11518,41.549343,41.261185
State,"11",District of Columbia,"94010",Test to measure expiratory airflow and volume,N,F,20,799,832,832,32.557297,8.878762,6.886298,6.1921396
State,"11",District of Columbia,"94010",Test to measure expiratory airflow and volume,N,O,36,648,871,871,82.566475,28.540493,21.319517,18.545925
State,"11",District of Columbia,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,16,514,518,518,61.964867,10.253513,7.5495753,7.4117374
State,"11",District of Columbia,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,41,809,977,977,144.96414,43.44774,32.69692,27.87213
State,"11",District of Columbia,"94726",Test to determine lung volumes using sensors,N,F,14,394,395,395,91.81456,11.478177,8.438253,8.680076
State,"11",District of Columbia,"94726",Test to determine lung volumes using sensors,N,O,25,969,1079,1079,179.22336,59.2576,45.649044,39.2535
State,"11",District of Columbia,"94729",Test to examine how well the lungs exchange gases,N,F,22,884,903,903,49.51143,9.074618,6.8447285,6.5715504
State,"11",District of Columbia,"94729",Test to examine how well the lungs exchange gases,N,O,27,1260,1400,1400,172.02429,60.541893,45.9081,38.842472
State,"12",Florida,"94010",Test to measure expiratory airflow and volume,N,F,275,5360,6659,6659,44.262657,8.159422,6.3646584,6.2376947
State,"12",Florida,"94010",Test to measure expiratory airflow and volume,N,O,1420,35387,45000,44963,87.40716,25.530579,19.246288,19.648209
State,"12",Florida,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,371,13136,13540,13539,68.99716,10.1421585,7.9042163,7.781208
State,"12",Florida,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,1332,57277,62911,62626,119.30577,36.37762,27.825663,28.454218
State,"12",Florida,"94726",Test to determine lung volumes using sensors,N,F,261,9938,10306,10306,47.82617,11.790727,9.220184,9.116305
State,"12",Florida,"94726",Test to determine lung volumes using sensors,N,O,460,38590,40822,40617,132.66908,50.84052,39.206184,40.26573
State,"12",Florida,"94729",Test to examine how well the lungs exchange gases,N,F,384,15471,16182,16182,42.678562,8.8171625,6.8946805,6.7751303
State,"12",Florida,"94729",Test to examine how well the lungs exchange gases,N,O,835,67452,71278,71059,119.54084,53.03859,40.997097,42.16958
