"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"10",Delaware,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,2023,142937,522083,522056,229.87178,120.41367,84.73714,85.976555
State,"11",District of Columbia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,478,8570,14452,14451,156.6613,68.95669,50.32316,46.05064
State,"11",District of Columbia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,1870,69130,143614,143590,179.89082,97.03512,68.70002,62.179047
State,"11",District of Columbia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,599,14285,26117,26116,255.22563,103.032684,75.573456,68.96832
State,"11",District of Columbia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,1862,90325,203540,203528,261.29123,137.39017,97.99569,88.79099
State,"12",Florida,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,5393,87424,166121,166107,176.3334,64.45963,47.3316,46.136353
State,"12",Florida,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,41953,1627724,5856193,5856026,184.49268,86.18632,61.160633,61.38356
State,"12",Florida,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,6825,140803,309639,309603,252.75497,94.52324,69.81467,68.48543
State,"12",Florida,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,42388,1823500,9192221,9191921,266.4472,122.19327,87.41106,88.502655
State,"13",Georgia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,2508,42583,88494,88493,181.3559,60.32964,43.70458,44.893726
State,"13",Georgia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,17733,621532,2104561,2104505,191.3451,82.14464,57.070457,59.920414
State,"13",Georgia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,2922,49083,106672,106671,276.5933,90.38249,66.18445,67.74667
State,"13",Georgia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,17634,693891,2900348,2900272,273.17413,117.60167,82.036896,86.0594
State,"15",Hawaii,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,310,9398,17179,17171,135.21788,63.422474,44.883064,44.876522
State,"15",Hawaii,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,2165,66531,197813,197808,155.73538,87.806145,59.66423,59.86838
State,"15",Hawaii,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,335,10429,23173,23169,200.19196,91.644714,64.003716,67.28291
State,"15",Hawaii,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,2109,73487,255234,255225,224.77512,120.127716,81.64905,85.80259
State,"16",Idaho,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,1151,33393,59979,59975,132.8653,57.973053,40.918644,43.330006
State,"16",Idaho,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,3406,118422,278920,278901,160.68834,73.79112,49.177868,54.152954
State,"16",Idaho,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,1217,43856,92432,92425,187.0773,85.78548,60.788284,64.47597
