hcpcs_code,seq_num,record_id,long_description,short_description
G9063,00100,3,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stgi no progres
G9064,00100,3,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stg2 no progres
G9065,00100,3,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stg3a no progre
G9066,00100,3,Oncology; disease status; limited to non-small cell lung cancer; stage iii b-,Onc dx nsclc stg3b-4 metasta
G9067,00100,3,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc dx unknown nos
G9068,00100,3,Oncology; disease status; limited to small cell and combined small,Onc dx sclc/nsclc limited
G9069,00100,3,"Oncology; disease status; small cell lung cancer, limited to small cell and",Onc dx sclc/nsclc ext at dx
G9070,00100,3,"Oncology; disease status; small cell lung cancer, limited to small cell and",Onc dx sclc/nsclc ext unknwn
G9071,00100,3,Oncology; disease status; invasive female breast cancer (does not include,"Onc dx brst stg1-2b hr,nopro"
G9072,00100,3,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst stg1-2 noprogres
G9073,00100,3,Oncology; disease status; invasive female breast cancer (does not include,"Onc dx brst stg3-hr, no pro"
G9074,00100,3,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst stg3-noprogress
G9075,00100,3,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst metastic/ recur
G9077,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t1no progres
G9078,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t2no progres
G9079,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t3b-t4noprog
G9080,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; after",Onc dx prostate w/rise psa
G9083,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; extent of",Onc dx prostate unknwn nos
G9084,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,","Onc dx colon t1-3,n1-2,no pr"
G9085,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,","Onc dx colon t4, n0 w/o prog"
G9086,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon t1-4 no dx prog
G9087,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon metas evid dx
G9088,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon metas noevid dx
G9089,00100,3,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon extent unknown
G9090,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,",Onc dx rectal t1-2 no progr
G9091,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,",Onc dx rectal t3 n0 no prog
G9092,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,","Onc dx rectal t1-3,n1-2noprg"
G9093,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,","Onc dx rectal t4,n,m0 no prg"
G9094,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,",Onc dx rectal m1 w/mets prog
G9095,00100,3,"Oncology; disease status; rectal cancer, limited to invasive cancer,",Onc dx rectal extent unknwn
G9096,00100,3,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or",Onc dx esophag t1-t3 noprog
G9097,00100,3,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or",Onc dx esophageal t4 no prog
G9098,00100,3,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or",Onc dx esophageal mets recur
G9099,00100,3,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or",Onc dx esophageal unknown
G9100,00100,3,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as",Onc dx gastric no recurrence
G9101,00100,3,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as",Onc dx gastric p r1-r2noprog
G9102,00100,3,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as",Onc dx gastric unresectable
G9103,00100,3,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as",Onc dx gastric recurrent
G9104,00100,3,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as",Onc dx gastric unknown nos
G9105,00100,3,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma as",Onc dx pancreatc p r0 res no
G9106,00100,3,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; post r1",Onc dx pancreatc p r1/r2 no
G9107,00100,3,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma;",Onc dx pancreatic unresectab
G9108,00100,3,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; extent",Onc dx pancreatic unknwn nos
G9109,00100,3,"Oncology; disease status; head and neck cancer, limited to cancers of oral",Onc dx head/neck t1-t2no prg
G9110,00100,3,"Oncology; disease status; head and neck cancer, limited to cancers of oral",Onc dx head/neck t3-4 noprog
G9111,00100,3,"Oncology; disease status; head and neck cancer, limited to cancers of oral",Onc dx head/neck m1 mets rec
G9112,00100,3,"Oncology; disease status; head and neck cancer, limited to cancers of oral",Onc dx head/neck ext unknown
G9113,00100,3,"Oncology; disease status; ovarian cancer, limited to epithelial cancer;",Onc dx ovarian stg1a-b no pr
G9114,00100,3,"Oncology; disease status; ovarian cancer, limited to epithelial cancer;",Onc dx ovarian stg1a-b or 2
G9115,00100,3,"Oncology; disease status; ovarian cancer, limited to epithelial cancer;",Onc dx ovarian stg3/4 noprog
G9116,00100,3,"Oncology; disease status; ovarian cancer, limited to epithelial cancer;",Onc dx ovarian recurrence
G9117,00100,3,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; extent",Onc dx ovarian unknown nos
G9123,00100,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia",Onc dx cml chronic phase
G9124,00100,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia",Onc dx cml acceler phase
G9125,00100,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia",Onc dx cml blast phase
G9126,00100,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia",Onc dx cml remission
G9128,00100,3,"Oncology; disease status; limited to multiple myeloma, systemic disease;",Onc dx multi myeloma stage i
G9129,00100,3,"Oncology; disease status; limited to multiple myeloma, systemic disease; stage",Onc dx mult myeloma stg2 hig
G9130,00100,3,"Oncology; disease status; limited to multiple myeloma, systemic disease; extent",Onc dx multi myeloma unknown
G9131,00100,3,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst unknown nos
G9132,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma;",Onc dx prostate mets no cast
G9133,00100,3,"Oncology; disease status; prostate cancer, limited to adenocarcinoma;",Onc dx prostate clinical met
G9134,00100,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification;",Onc nhlstg 1-2 no relap no
G9135,00100,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification;",Onc dx nhl stg 3-4 not relap
G9136,00100,3,"Oncology; disease status; non-hodgkin's lymphoma, transformed from original",Onc dx nhl trans to lg bcell
G9137,00100,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification;",Onc dx nhl relapse/refractor
G9138,00100,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification;",Onc dx nhl stg unknown
G9139,00100,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia",Onc dx cml dx status unknown
G9140,00100,3,Frontier extended stay clinic demonstration; for a patient stay in a clinic,Frontier extended stay demo
G9143,00100,3,"Warfarin responsiveness testing by genetic technique using any method, any",Warfarin respon genetic test
G9147,00100,3,Outpatient intravenous insulin treatment (oivit) either pulsatile or,Outpt iv insulin tx any mea
G9148,00100,3,National committee for quality assurance - level 1 medical home,Medical home level 1
G9149,00100,3,National committee for quality assurance - level 2 medical home,Medical home level ii
G9150,00100,3,National committee for quality assurance - level 3 medical home,Medical home level iii
G9151,00100,3,Mapcp demonstration - state provided services,Mapcp demo state
G9152,00100,3,Mapcp demonstration - community health teams,Mapcp demo community
G9153,00100,3,Mapcp demonstration - physician incentive pool,Mapcp demo physician
G9156,00100,3,Evaluation for wheelchair requiring face to face visit with physician,Evaluation for wheelchair
G9157,00100,3,Transesophageal doppler measurement of cardiac output (including probe,Transesoph doppl cardiac mon
G9158,00100,3,"Motor speech functional limitation, discharge status, at discharge from therapy",Motor speech d/c status
G9159,00100,3,"Spoken language comprehension functional limitation, current status at therapy",Lang comp current status
G9160,00100,3,"Spoken language comprehension functional limitation, projected goal status at",Lang comp goal status
G9161,00100,3,"Spoken language comprehension functional limitation, discharge status, at",Lang comp d/c status
G9162,00100,3,"Spoken language expression functional limitation, current status at therapy",Lang express current status
G9163,00100,3,"Spoken language expression functional limitation, projected goal status at",Lang express goal status
G9164,00100,3,"Spoken language expression functional limitation, discharge status at discharge",Lang express d/c status
G9165,00100,3,"Attention functional limitation, current status at therapy episode outset and",Atten current status
G9166,00100,3,"Attention functional limitation, projected goal status at therapy episode",Atten goal status
G9167,00100,3,"Attention functional limitation, discharge status at discharge from therapy or",Atten d/c status
G9168,00100,3,"Memory functional limitation, current status at therapy episode outset and at",Memory current status
G9169,00100,3,"Memory functional limitation, projected goal status at therapy episode outset,",Memory goal status
G9170,00100,3,"Memory functional limitation, discharge status at discharge from therapy or to",Memory d/c status
G9171,00100,3,"Voice functional limitation, current status at therapy episode outset and at",Voice current status
G9172,00100,3,"Voice functional limitation, projected goal status at therapy episode outset,",Voice goal status
